loop_index, counter, last_step_ns, T_ref, theta_ref, phi_ref, uwind, vwind, wwind, rho,v_batt,alt,gyro_roll,gyro_pitch,gyro_yaw,accel_X,accel_Y,accel_Z,roll,pitch,yaw,X,Y,Z,Xdot,Ydot,Zdot,x0,y0,z0,e.xbee_time,xbee_time_received_ns,xbee_x,xbee_y,xbee_z,xbee_qw,xbee_qx,xbee_qy,xbee_qz,sp_roll,sp_pitch,sp_yaw,sp_X,sp_Y,sp_Z,sp_Xdot,sp_Ydot,sp_Zdot,u_roll,u_pitch,u_yaw,u_X,u_Y,u_Z,mot_1,mot_2,mot_3,mot_4,flight mode
1,325,2897744868052,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2222,0.0000,-0.1831,-0.1221,-0.0000,-0.1267,-0.2829,-10.5811,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,-0.0000,0.0000,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
2,326,2897748994131,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2222,0.0000,-0.1831,-0.1221,-0.0610,-0.1554,-0.2373,-10.5691,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0005,-0.0005,0.0005,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
3,327,2897753375344,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2229,0.0000,0.0000,0.0000,-0.0000,-0.1458,-0.2781,-10.5620,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0010,-0.0010,0.0010,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
4,328,2897757732810,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2220,0.0000,0.0000,-0.0610,-0.0000,-0.1506,-0.2373,-10.5930,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0015,-0.0015,0.0015,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
5,329,2897762458894,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2213,0.0000,0.1221,0.0000,0.1221,-0.1626,-0.2901,-10.6145,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0020,-0.0020,0.0019,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
6,330,2897767747195,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2213,0.0000,-0.1831,-0.1831,-0.0000,-0.1506,-0.2805,-10.6002,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0025,-0.0024,0.0024,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
7,331,2897772375583,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2215,0.0000,-0.1831,-0.2441,-0.0000,-0.1530,-0.2493,-10.6073,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0030,-0.0029,0.0028,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
8,332,2897777635972,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2222,0.0000,-0.0610,-0.1221,0.1831,-0.1482,-0.2469,-10.5739,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0035,-0.0034,0.0033,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
9,333,2897782880279,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2222,0.0000,-0.0610,-0.2441,0.1831,-0.1626,-0.2733,-10.5787,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0040,-0.0038,0.0037,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
10,334,2897787365728,-0.0013,NAN,NAN,-0.0490,0.6210,0.3110,0.0000,12.2217,0.0000,-0.1831,-0.1221,0.1221,-0.1411,-0.2853,-10.5763,0.0235,-0.0183,-0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,NAN,NAN,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0045,-0.0043,0.0041,0.0000,0.0000,-0.0500,0.0025,0.0025,0.0025,0.0025,4
